,TF,Humidity,Windspeed,weather,Date,hour,cnt
1106,35F,50%,10mph,Fair,2017-02-16,2,4
1107,34F,46%,14mph,Mostly Cloudy,2017-02-16,3,3
1108,34F,46%,9mph,Partly Cloudy,2017-02-16,4,4
1109,34F,50%,15mph,Partly Cloudy,2017-02-16,5,59
1110,33F,52%,10mph,Mostly Cloudy,2017-02-16,6,205
1111,34F,56%,13mph,Mostly Cloudy,2017-02-16,7,584
1112,34F,61%,15mph,Cloudy,2017-02-16,8,880
1113,38F,44%,16mph,Mostly Cloudy,2017-02-16,9,467
1114,37F,37%,21mph,Mostly Cloudy / Windy,2017-02-16,10,185
1115,39F,36%,17mph,Mostly Cloudy,2017-02-16,11,226
1116,39F,34%,18mph,Cloudy,2017-02-16,12,223
1117,40F,35%,20mph,Mostly Cloudy,2017-02-16,13,223
1118,39F,36%,21mph,Mostly Cloudy / Windy,2017-02-16,14,216
1119,39F,36%,20mph,Mostly Cloudy,2017-02-16,15,270
1120,39F,36%,14mph,Partly Cloudy,2017-02-16,16,439
1121,37F,39%,15mph,Fair,2017-02-16,17,820
1122,36F,39%,13mph,Fair,2017-02-16,18,684
1123,35F,42%,10mph,Fair,2017-02-16,19,327
1124,34F,44%,6mph,Fair,2017-02-16,20,251
1125,33F,46%,8mph,Fair,2017-02-16,21,183
1126,33F,48%,10mph,Fair,2017-02-16,22,94
1127,32F,50%,7mph,Fair,2017-02-16,23,60
1128,30F,54%,6mph,Fair,2017-02-17,0,25
1129,31F,52%,0mph,Fair,2017-02-17,1,24
1130,30F,54%,5mph,Fair,2017-02-17,2,5
1131,30F,54%,3mph,Fair,2017-02-17,3,1
1132,31F,52%,0mph,Fair,2017-02-17,4,7
1133,29F,58%,6mph,Partly Cloudy,2017-02-17,5,51
1134,30F,56%,5mph,Mostly Cloudy,2017-02-17,6,155
1135,34F,50%,8mph,Cloudy,2017-02-17,7,451
1136,34F,50%,7mph,Cloudy,2017-02-17,8,876
1137,36F,48%,6mph,Cloudy,2017-02-17,9,436
1138,37F,52%,5mph,Cloudy,2017-02-17,10,220
1139,40F,43%,3mph,Partly Cloudy,2017-02-17,11,260
1140,44F,37%,3mph,Partly Cloudy,2017-02-17,12,398
1141,46F,34%,3mph,Fair,2017-02-17,13,361
1142,49F,32%,3mph,Fair,2017-02-17,14,383
1143,50F,33%,7mph,Partly Cloudy,2017-02-17,15,471
1144,50F,36%,3mph,Partly Cloudy,2017-02-17,16,680
1145,49F,38%,5mph,Mostly Cloudy,2017-02-17,17,881
1146,45F,48%,8mph,Fair,2017-02-17,18,597
1147,45F,46%,0mph,Fair,2017-02-17,19,395
1148,43F,51%,5mph,Fair,2017-02-17,20,225
1149,40F,65%,3mph,Fair,2017-02-17,21,156
1150,39F,65%,0mph,Fair,2017-02-17,22,125
1151,38F,70%,5mph,Fair,2017-02-17,23,99
1152,38F,70%,7mph,Fair,2017-02-18,0,61
1153,37F,70%,3mph,Fair,2017-02-18,1,42
1154,36F,73%,5mph,Fair,2017-02-18,2,30
1155,36F,73%,0mph,Fair,2017-02-18,3,15
1156,35F,78%,5mph,Fair,2017-02-18,4,13
1157,33F,82%,5mph,Fair,2017-02-18,5,9
1158,34F,79%,6mph,Fair,2017-02-18,6,31
1159,37F,73%,6mph,Partly Cloudy,2017-02-18,7,70
1160,40F,70%,6mph,Partly Cloudy,2017-02-18,8,146
1161,44F,63%,7mph,Partly Cloudy,2017-02-18,9,362
1162,48F,54%,9mph,Cloudy,2017-02-18,10,524
1163,56F,42%,10mph,Cloudy,2017-02-18,11,785
1164,57F,40%,10mph,Cloudy,2017-02-18,12,1016
1165,65F,32%,8mph,Mostly Cloudy,2017-02-18,13,1095
1166,63F,33%,12mph,Mostly Cloudy,2017-02-18,14,1303
1167,63F,35%,12mph,Cloudy,2017-02-18,15,1256
1168,62F,38%,9mph,Cloudy,2017-02-18,16,1217
1169,57F,44%,10mph,Cloudy,2017-02-18,17,993
1170,57F,44%,8mph,Cloudy,2017-02-18,18,565
1171,58F,39%,7mph,Cloudy,2017-02-18,19,404
1172,57F,49%,6mph,Cloudy,2017-02-18,20,243
1173,58F,42%,3mph,Cloudy,2017-02-18,21,200
1174,59F,41%,0mph,Cloudy,2017-02-18,22,187
1175,55F,51%,9mph,Cloudy,2017-02-18,23,159
1176,55F,51%,5mph,Cloudy,2017-02-19,0,126
1177,56F,51%,6mph,Cloudy,2017-02-19,1,67
1178,56F,60%,0mph,Light Rain,2017-02-19,2,55
1179,50F,86%,6mph,Light Rain,2017-02-19,3,26
1180,53F,74%,0mph,Cloudy,2017-02-19,4,8
1181,59F,64%,7mph,Cloudy,2017-02-19,5,13
1182,56F,67%,5mph,Cloudy,2017-02-19,6,22
1183,60F,60%,10mph,Cloudy,2017-02-19,7,55
1184,61F,56%,13mph,Mostly Cloudy,2017-02-19,8,170
1185,61F,56%,12mph,Cloudy,2017-02-19,9,349
1186,65F,48%,10mph,Mostly Cloudy,2017-02-19,10,727
1187,68F,43%,14mph,Partly Cloudy,2017-02-19,11,948
1188,68F,42%,7mph,Fair,2017-02-19,12,1262
1189,70F,39%,15mph,Fair,2017-02-19,13,1361
1190,71F,36%,14mph,Fair,2017-02-19,14,1439
1191,71F,35%,15mph,Fair,2017-02-19,15,1521
1192,70F,32%,17mph,Fair,2017-02-19,16,1372
1193,67F,34%,16mph,Fair,2017-02-19,17,1127
1194,64F,41%,8mph,Fair,2017-02-19,18,610
1195,63F,43%,9mph,Fair,2017-02-19,19,338
1196,61F,48%,9mph,Partly Cloudy,2017-02-19,20,260
1197,59F,53%,12mph,Partly Cloudy,2017-02-19,21,229
1198,58F,56%,8mph,Partly Cloudy,2017-02-19,22,158
1199,55F,62%,3mph,Mostly Cloudy,2017-02-19,23,107
1200,52F,69%,5mph,Mostly Cloudy,2017-02-20,0,91
1201,49F,77%,6mph,Mostly Cloudy,2017-02-20,1,32
1202,50F,74%,0mph,Fair,2017-02-20,2,11
1203,47F,83%,5mph,Fair,2017-02-20,3,11
1204,47F,83%,0mph,Fair,2017-02-20,4,8
1205,44F,89%,3mph,Fair,2017-02-20,5,33
1206,45F,90%,5mph,Fair,2017-02-20,6,50
1207,52F,74%,7mph,Fair,2017-02-20,7,170
1208,57F,59%,13mph,Fair,2017-02-20,8,372
1209,60F,49%,14mph,Fair,2017-02-20,9,462
1210,63F,40%,17mph,Partly Cloudy,2017-02-20,10,606
1211,64F,37%,12mph,Mostly Cloudy,2017-02-20,11,819
1212,65F,34%,12mph,Mostly Cloudy,2017-02-20,12,883
1213,67F,30%,10mph,Partly Cloudy,2017-02-20,13,1009
1214,67F,28%,5mph,Partly Cloudy,2017-02-20,14,966
1215,68F,24%,9mph,Partly Cloudy,2017-02-20,15,971
1216,65F,27%,10mph,Partly Cloudy,2017-02-20,16,1020
1217,59F,39%,9mph,Mostly Cloudy,2017-02-20,17,943
1218,57F,42%,7mph,Fair,2017-02-20,18,580
1219,55F,47%,6mph,Fair,2017-02-20,19,434
1220,53F,47%,0mph,Partly Cloudy,2017-02-20,20,274
1221,50F,46%,7mph,Partly Cloudy,2017-02-20,21,164
1222,50F,46%,8mph,Partly Cloudy,2017-02-20,22,109
1223,49F,46%,0mph,Cloudy,2017-02-20,23,40
1224,50F,38%,5mph,Cloudy,2017-02-21,0,12
1225,48F,39%,8mph,Mostly Cloudy,2017-02-21,1,14
1226,46F,39%,8mph,Cloudy,2017-02-21,2,4
1227,45F,46%,6mph,Cloudy,2017-02-21,3,7
1228,43F,47%,0mph,Cloudy,2017-02-21,4,5
1229,42F,51%,6mph,Cloudy,2017-02-21,5,76
1230,41F,57%,6mph,Mostly Cloudy,2017-02-21,6,274
1231,42F,55%,7mph,Cloudy,2017-02-21,7,748
1232,44F,53%,5mph,Cloudy,2017-02-21,8,996
1233,47F,50%,3mph,Cloudy,2017-02-21,9,381
1234,50F,46%,8mph,Cloudy,2017-02-21,10,250
1235,53F,41%,8mph,Cloudy,2017-02-21,11,318
1236,55F,37%,10mph,Cloudy,2017-02-21,12,392
1237,56F,37%,8mph,Cloudy,2017-02-21,13,319
1238,57F,39%,12mph,Cloudy,2017-02-21,14,287
1239,55F,43%,9mph,Mostly Cloudy,2017-02-21,15,456
1240,55F,45%,12mph,Cloudy,2017-02-21,16,687
1241,53F,50%,7mph,Cloudy,2017-02-21,17,1266
1242,51F,56%,6mph,Cloudy,2017-02-21,18,934
1243,49F,66%,7mph,Mostly Cloudy,2017-02-21,19,554
1244,48F,71%,8mph,Mostly Cloudy,2017-02-21,20,338
1245,48F,71%,6mph,Mostly Cloudy,2017-02-21,21,281
1246,48F,71%,8mph,Cloudy,2017-02-21,22,143
1247,48F,71%,8mph,Cloudy,2017-02-21,23,73
1248,47F,74%,6mph,Cloudy,2017-02-22,0,28
1249,47F,77%,6mph,Cloudy,2017-02-22,1,11
1250,46F,79%,8mph,Cloudy,2017-02-22,2,4
1251,46F,79%,7mph,Cloudy,2017-02-22,3,2
1252,46F,83%,9mph,Cloudy,2017-02-22,4,8
1253,47F,80%,0mph,Cloudy,2017-02-22,5,85
1254,47F,80%,0mph,Light Rain,2017-02-22,6,300
1255,47F,83%,3mph,Cloudy,2017-02-22,7,790
1256,49F,80%,8mph,Cloudy,2017-02-22,8,1093
1257,50F,80%,7mph,Cloudy,2017-02-22,9,428
1258,52F,77%,6mph,Cloudy,2017-02-22,10,255
1259,55F,69%,8mph,Cloudy,2017-02-22,11,290
1260,57F,64%,7mph,Cloudy,2017-02-22,12,382
1261,59F,62%,7mph,Cloudy,2017-02-22,13,390
1262,60F,64%,10mph,Cloudy,2017-02-22,14,375
1263,61F,62%,7mph,Cloudy,2017-02-22,15,474
1264,59F,69%,9mph,Cloudy,2017-02-22,16,775
1265,56F,75%,8mph,Mostly Cloudy,2017-02-22,17,1289
1266,57F,72%,7mph,Mostly Cloudy,2017-02-22,18,1015
1267,54F,80%,8mph,Cloudy,2017-02-22,19,604
1268,53F,86%,8mph,Mostly Cloudy,2017-02-22,20,443
1269,53F,89%,8mph,Mostly Cloudy,2017-02-22,21,343
1270,54F,93%,5mph,Cloudy,2017-02-22,22,185
1271,54F,93%,8mph,Cloudy,2017-02-22,23,90
1272,54F,97%,9mph,Cloudy,2017-02-23,0,29
1273,54F,97%,8mph,Cloudy,2017-02-23,1,19
1274,54F,97%,7mph,Cloudy,2017-02-23,2,2
1275,54F,97%,3mph,Mostly Cloudy,2017-02-23,3,3
1276,54F,97%,5mph,Mostly Cloudy,2017-02-23,4,10
1277,54F,97%,8mph,Mostly Cloudy,2017-02-23,5,71
1278,54F,97%,5mph,Mostly Cloudy,2017-02-23,6,328
1279,55F,96%,6mph,Partly Cloudy,2017-02-23,7,880
1280,59F,83%,8mph,Partly Cloudy,2017-02-23,8,1287
1281,61F,78%,13mph,Partly Cloudy,2017-02-23,9,545
1282,64F,72%,12mph,Partly Cloudy,2017-02-23,10,296
1283,65F,70%,16mph,Partly Cloudy,2017-02-23,11,412
1284,68F,63%,13mph,Partly Cloudy,2017-02-23,12,613
1285,73F,53%,13mph,Partly Cloudy,2017-02-23,13,551
1286,72F,53%,17mph,Partly Cloudy,2017-02-23,14,547
1287,73F,51%,15mph,Partly Cloudy,2017-02-23,15,605
1288,73F,49%,13mph,Partly Cloudy,2017-02-23,16,928
1289,67F,61%,10mph,Partly Cloudy,2017-02-23,17,1539
1290,65F,65%,12mph,Partly Cloudy,2017-02-23,18,1162
1291,63F,67%,12mph,Partly Cloudy,2017-02-23,19,714
1292,63F,67%,10mph,Partly Cloudy,2017-02-23,20,477
1293,62F,70%,12mph,Partly Cloudy,2017-02-23,21,380
1294,60F,75%,9mph,Mostly Cloudy,2017-02-23,22,211
1295,60F,75%,12mph,Partly Cloudy,2017-02-23,23,135
1296,61F,72%,12mph,Fair,2017-02-24,0,69
1297,58F,81%,9mph,Partly Cloudy,2017-02-24,1,44
1298,56F,87%,6mph,Partly Cloudy,2017-02-24,2,12
1299,57F,87%,7mph,Fair,2017-02-24,3,7
1300,58F,84%,3mph,Fair,2017-02-24,4,9
1301,54F,97%,6mph,Fair,2017-02-24,5,78
1302,54F,97%,8mph,Mostly Cloudy,2017-02-24,6,268
1303,57F,93%,7mph,Partly Cloudy,2017-02-24,7,799
1304,60F,86%,7mph,Partly Cloudy,2017-02-24,8,1239
1305,64F,75%,10mph,Partly Cloudy,2017-02-24,9,570
1306,69F,63%,14mph,Partly Cloudy,2017-02-24,10,396
1307,74F,53%,15mph,Mostly Cloudy,2017-02-24,11,537
1308,76F,46%,16mph,Mostly Cloudy,2017-02-24,12,717
1309,74F,52%,14mph,Mostly Cloudy,2017-02-24,13,744
1310,72F,53%,15mph,Mostly Cloudy,2017-02-24,14,764
1311,73F,51%,13mph,Mostly Cloudy,2017-02-24,15,956
1312,69F,57%,14mph,Mostly Cloudy,2017-02-24,16,1210
1313,67F,61%,12mph,Partly Cloudy,2017-02-24,17,1636
1314,68F,65%,15mph,Partly Cloudy,2017-02-24,18,1073
1315,64F,75%,10mph,Partly Cloudy,2017-02-24,19,625
1316,62F,84%,10mph,Mostly Cloudy,2017-02-24,20,402
1317,61F,90%,9mph,Mostly Cloudy,2017-02-24,21,339
1318,61F,90%,10mph,Mostly Cloudy,2017-02-24,22,240
1319,62F,90%,12mph,Mostly Cloudy,2017-02-24,23,225
1320,61F,90%,13mph,Mostly Cloudy,2017-02-25,0,131
1321,59F,93%,12mph,Mostly Cloudy,2017-02-25,1,98
1322,59F,93%,12mph,Partly Cloudy,2017-02-25,2,58
1323,61F,90%,14mph,Fair,2017-02-25,3,36
1324,58F,93%,8mph,Partly Cloudy,2017-02-25,4,11
1325,58F,93%,10mph,Mostly Cloudy,2017-02-25,5,25
1326,59F,93%,14mph,Partly Cloudy,2017-02-25,6,38
1327,62F,86%,13mph,Mostly Cloudy,2017-02-25,7,123
1328,63F,84%,13mph,Mostly Cloudy,2017-02-25,8,315
1329,66F,75%,12mph,Mostly Cloudy,2017-02-25,9,587
1330,71F,66%,20mph,Mostly Cloudy,2017-02-25,10,782
1331,75F,57%,17mph,Mostly Cloudy,2017-02-25,11,1001
1332,70F,63%,17mph,Mostly Cloudy,2017-02-25,12,1014
1333,73F,57%,16mph,Cloudy,2017-02-25,13,925
1334,69F,73%,13mph,Thunder,2017-02-25,14,562
1335,56F,80%,15mph,Thunder,2017-02-25,15,303
1336,57F,64%,15mph,Cloudy,2017-02-25,16,444
1337,56F,55%,15mph,Mostly Cloudy,2017-02-25,17,454
1338,55F,53%,10mph,Mostly Cloudy,2017-02-25,18,373
1339,55F,40%,14mph,Partly Cloudy,2017-02-25,19,278
1340,52F,41%,21mph,Cloudy / Windy,2017-02-25,20,223
1341,49F,38%,20mph,Partly Cloudy,2017-02-25,21,165
1342,46F,40%,23mph,Fair / Windy,2017-02-25,22,123
1343,44F,42%,14mph,Partly Cloudy,2017-02-25,23,105
1344,44F,43%,18mph,Mostly Cloudy,2017-02-26,0,104
1345,42F,47%,15mph,Cloudy,2017-02-26,1,53
1346,40F,47%,13mph,Mostly Cloudy,2017-02-26,2,48
1347,39F,46%,21mph,Mostly Cloudy / Windy,2017-02-26,3,25
1348,37F,46%,9mph,Partly Cloudy,2017-02-26,4,3
1349,37F,44%,17mph,Partly Cloudy,2017-02-26,5,8
1350,36F,44%,12mph,Partly Cloudy,2017-02-26,6,15
1351,37F,42%,12mph,Partly Cloudy,2017-02-26,7,50
1352,38F,41%,16mph,Partly Cloudy,2017-02-26,8,171
1353,40F,40%,16mph,Partly Cloudy,2017-02-26,9,284
1354,43F,38%,15mph,Partly Cloudy,2017-02-26,10,465
1355,42F,37%,10mph,Partly Cloudy,2017-02-26,11,475
1356,45F,34%,9mph,Fair,2017-02-26,12,586
1357,47F,32%,14mph,Partly Cloudy,2017-02-26,13,673
1358,48F,29%,17mph,Partly Cloudy,2017-02-26,14,631
1359,49F,28%,8mph,Fair,2017-02-26,15,656
1360,49F,28%,6mph,Fair,2017-02-26,16,602
1361,46F,34%,8mph,Fair,2017-02-26,17,507
1362,45F,34%,7mph,Fair,2017-02-26,18,367
1363,44F,40%,6mph,Fair,2017-02-26,19,240
1364,44F,45%,6mph,Fair,2017-02-26,20,140
1365,42F,47%,5mph,Fair,2017-02-26,21,105
1366,42F,45%,3mph,Fair,2017-02-26,22,89
1367,38F,62%,6mph,Fair,2017-02-26,23,42
1368,39F,60%,8mph,Fair,2017-02-27,0,40
1369,40F,65%,8mph,Fair,2017-02-27,1,5
1370,39F,62%,3mph,Fair,2017-02-27,2,4
1371,39F,65%,0mph,Fair,2017-02-27,3,1
1372,38F,68%,0mph,Fair,2017-02-27,4,7
1373,37F,82%,3mph,Mostly Cloudy,2017-02-27,5,64
1374,39F,82%,5mph,Mostly Cloudy,2017-02-27,6,265
1375,40F,83%,5mph,Cloudy,2017-02-27,7,597
1376,42F,73%,7mph,Cloudy,2017-02-27,8,978
1377,46F,68%,6mph,Cloudy,2017-02-27,9,442
1378,48F,56%,9mph,Cloudy,2017-02-27,10,213
1379,53F,31%,13mph,Cloudy,2017-02-27,11,260
1380,52F,32%,12mph,Cloudy,2017-02-27,12,358
1381,53F,38%,12mph,Cloudy,2017-02-27,13,336
1382,54F,33%,6mph,Cloudy,2017-02-27,14,295
1383,55F,35%,3mph,Cloudy,2017-02-27,15,436
1384,54F,45%,8mph,Cloudy,2017-02-27,16,612
1385,54F,38%,7mph,Cloudy,2017-02-27,17,1132
1386,53F,47%,8mph,Mostly Cloudy,2017-02-27,18,891
1387,51F,56%,7mph,Cloudy,2017-02-27,19,551
1388,51F,59%,9mph,Cloudy,2017-02-27,20,310
1389,52F,54%,6mph,Cloudy,2017-02-27,21,250
1390,50F,57%,6mph,Cloudy,2017-02-27,22,149
1391,49F,56%,3mph,Mostly Cloudy,2017-02-27,23,68
1392,51F,52%,0mph,Mostly Cloudy,2017-02-28,0,25
1393,51F,54%,3mph,Cloudy,2017-02-28,1,9
1394,50F,59%,0mph,Cloudy,2017-02-28,2,5
1395,50F,54%,0mph,Mostly Cloudy,2017-02-28,3,2
1396,49F,61%,0mph,Cloudy,2017-02-28,4,7
1397,49F,71%,3mph,Cloudy,2017-02-28,5,84
1398,47F,71%,6mph,Partly Cloudy,2017-02-28,6,321
1399,50F,66%,5mph,Fair,2017-02-28,7,888
1400,53F,64%,0mph,Fair,2017-02-28,8,1275
1401,56F,62%,7mph,Partly Cloudy,2017-02-28,9,503
1402,61F,56%,7mph,Mostly Cloudy,2017-02-28,10,280
1403,63F,54%,9mph,Mostly Cloudy,2017-02-28,11,365
1404,64F,56%,7mph,Cloudy,2017-02-28,12,449
1405,67F,52%,7mph,Cloudy,2017-02-28,13,437
1406,65F,58%,9mph,Cloudy,2017-02-28,14,411
1407,63F,65%,8mph,Cloudy,2017-02-28,15,485
1408,65F,61%,3mph,Cloudy,2017-02-28,16,734
1409,65F,65%,5mph,Light Rain,2017-02-28,17,837
1410,59F,90%,5mph,Rain,2017-02-28,18,220
1411,57F,96%,6mph,Light Rain,2017-02-28,19,128
1412,57F,100%,8mph,Light Rain,2017-02-28,20,105
1413,57F,100%,7mph,Light Rain,2017-02-28,21,86
1414,58F,97%,7mph,Light Rain,2017-02-28,22,110
1415,57F,96%,6mph,Light Rain,2017-02-28,23,62
1416,57F,96%,8mph,Light Rain,2017-03-01,0,27
1417,57F,96%,8mph,Cloudy,2017-03-01,1,19
1418,57F,100%,10mph,Cloudy,2017-03-01,2,11
1419,57F,100%,10mph,Cloudy,2017-03-01,3,4
1420,57F,100%,9mph,Cloudy,2017-03-01,4,8
1421,58F,97%,14mph,Cloudy,2017-03-01,5,90
1422,60F,93%,14mph,Cloudy,2017-03-01,6,318
1423,61F,90%,17mph,Cloudy,2017-03-01,7,795
1424,62F,90%,21mph,Cloudy / Windy,2017-03-01,8,1079
1425,65F,84%,18mph,Cloudy,2017-03-01,9,406
1426,69F,75%,20mph,Cloudy,2017-03-01,10,246
1427,74F,66%,21mph,Mostly Cloudy / Windy,2017-03-01,11,339
1428,77F,52%,26mph,Cloudy / Windy,2017-03-01,12,433
1429,70F,71%,26mph,Heavy Rain / Windy,2017-03-01,13,323
1430,72F,48%,14mph,Cloudy,2017-03-01,14,261
1431,69F,58%,20mph,Light Rain,2017-03-01,15,349
1432,69F,53%,23mph,Mostly Cloudy / Windy,2017-03-01,16,626
1433,69F,53%,23mph,Cloudy / Windy,2017-03-01,17,1085
1434,67F,61%,20mph,Cloudy,2017-03-01,18,971
1435,65F,65%,21mph,Cloudy / Windy,2017-03-01,19,600
1436,64F,70%,20mph,Cloudy,2017-03-01,20,425
1437,63F,72%,16mph,Cloudy,2017-03-01,21,294
1438,63F,72%,21mph,Cloudy / Windy,2017-03-01,22,188
1439,62F,78%,14mph,Cloudy,2017-03-01,23,80
1440,62F,78%,10mph,Light Rain,2017-03-02,0,43
1441,60F,41%,16mph,Cloudy,2017-03-02,1,14
1442,54F,35%,28mph,Partly Cloudy / Windy,2017-03-02,2,9
1443,51F,32%,24mph,Fair / Windy,2017-03-02,3,2
1444,50F,35%,17mph,Fair,2017-03-02,4,12
1445,49F,33%,15mph,Fair,2017-03-02,5,63
1446,47F,37%,21mph,Fair / Windy,2017-03-02,6,251
1447,47F,39%,18mph,Fair,2017-03-02,7,727
1448,48F,39%,13mph,Partly Cloudy,2017-03-02,8,1070
1449,47F,39%,22mph,Partly Cloudy / Windy,2017-03-02,9,464
1450,47F,39%,28mph,Mostly Cloudy / Windy,2017-03-02,10,209
1451,49F,36%,23mph,Mostly Cloudy / Windy,2017-03-02,11,280
1452,50F,33%,22mph,Partly Cloudy / Windy,2017-03-02,12,327
1453,51F,33%,13mph,Partly Cloudy,2017-03-02,13,333
1454,50F,32%,21mph,Partly Cloudy / Windy,2017-03-02,14,292
1455,50F,29%,21mph,Fair / Windy,2017-03-02,15,386
1456,50F,29%,15mph,Fair,2017-03-02,16,552
1457,47F,32%,20mph,Fair,2017-03-02,17,1093
1458,46F,31%,16mph,Fair,2017-03-02,18,826
1459,45F,34%,13mph,Fair,2017-03-02,19,428
1460,44F,38%,16mph,Mostly Cloudy,2017-03-02,20,307
1461,42F,47%,16mph,Mostly Cloudy,2017-03-02,21,229
1462,41F,49%,15mph,Fair,2017-03-02,22,137
1463,40F,49%,9mph,Fair,2017-03-02,23,80
1464,39F,50%,6mph,Mostly Cloudy,2017-03-03,0,43
1465,40F,51%,10mph,Mostly Cloudy,2017-03-03,1,13
1466,40F,49%,16mph,Mostly Cloudy,2017-03-03,2,14
1467,39F,50%,10mph,Partly Cloudy,2017-03-03,3,1
1468,34F,79%,10mph,Mostly Cloudy,2017-03-03,4,14
1469,34F,73%,13mph,Light Snow,2017-03-03,5,64
1470,35F,67%,7mph,Mostly Cloudy,2017-03-03,6,180
1471,36F,59%,8mph,Mostly Cloudy,2017-03-03,7,468
1472,39F,55%,14mph,Mostly Cloudy,2017-03-03,8,923
1473,39F,46%,13mph,Mostly Cloudy,2017-03-03,9,489
1474,40F,41%,15mph,Mostly Cloudy,2017-03-03,10,254
1475,42F,37%,17mph,Mostly Cloudy,2017-03-03,11,286
1476,42F,37%,22mph,Mostly Cloudy / Windy,2017-03-03,12,335
1477,43F,22%,28mph,Partly Cloudy / Windy,2017-03-03,13,307
1478,43F,22%,17mph,Mostly Cloudy,2017-03-03,14,276
1479,43F,23%,21mph,Partly Cloudy / Windy,2017-03-03,15,339
1480,40F,27%,16mph,Partly Cloudy,2017-03-03,16,533
1481,39F,30%,21mph,Partly Cloudy / Windy,2017-03-03,17,797
1482,38F,39%,18mph,Mostly Cloudy,2017-03-03,18,587
1483,36F,43%,14mph,Partly Cloudy,2017-03-03,19,291
1484,35F,44%,13mph,Fair,2017-03-03,20,189
1485,33F,46%,17mph,Fair,2017-03-03,21,145
1486,32F,45%,14mph,Mostly Cloudy,2017-03-03,22,124
1487,31F,43%,12mph,Fair,2017-03-03,23,69
1488,30F,45%,12mph,Fair,2017-03-04,0,52
1489,30F,43%,12mph,Partly Cloudy,2017-03-04,1,36
1490,28F,47%,7mph,Cloudy,2017-03-04,2,21
1491,28F,45%,6mph,Partly Cloudy,2017-03-04,3,9
1492,28F,45%,3mph,Partly Cloudy,2017-03-04,4,3
1493,27F,56%,5mph,Fair,2017-03-04,5,8
1494,26F,58%,6mph,Fair,2017-03-04,6,16
1495,31F,47%,7mph,Fair,2017-03-04,7,63
1496,34F,40%,10mph,Fair,2017-03-04,8,173
1497,36F,33%,14mph,Fair,2017-03-04,9,276
1498,37F,31%,15mph,Fair,2017-03-04,10,365
1499,39F,29%,13mph,Fair,2017-03-04,11,442
1500,41F,26%,22mph,Partly Cloudy / Windy,2017-03-04,12,459
1501,42F,26%,15mph,Fair,2017-03-04,13,487
1502,43F,24%,21mph,Fair / Windy,2017-03-04,14,461
1503,43F,23%,20mph,Fair,2017-03-04,15,472
1504,42F,23%,16mph,Fair,2017-03-04,16,498
1505,40F,26%,14mph,Fair,2017-03-04,17,426
1506,38F,29%,10mph,Fair,2017-03-04,18,304
1507,36F,34%,14mph,Fair,2017-03-04,19,202
1508,35F,35%,16mph,Fair,2017-03-04,20,151
1509,34F,35%,14mph,Fair,2017-03-04,21,114
1510,33F,35%,13mph,Fair,2017-03-04,22,120
1511,32F,38%,15mph,Fair,2017-03-04,23,125
1512,31F,35%,15mph,Fair,2017-03-05,0,58
1513,30F,38%,15mph,Fair,2017-03-05,1,43
1514,28F,39%,15mph,Fair,2017-03-05,2,29
1515,26F,44%,13mph,Fair,2017-03-05,3,15
1516,24F,42%,12mph,Fair,2017-03-05,4,4
1517,24F,40%,13mph,Fair,2017-03-05,5,7
1518,23F,39%,14mph,Fair,2017-03-05,6,10
1519,24F,34%,12mph,Fair,2017-03-05,7,65
1520,26F,27%,6mph,Fair,2017-03-05,8,118
1521,28F,26%,5mph,Fair,2017-03-05,9,198
1522,30F,25%,5mph,Partly Cloudy,2017-03-05,10,314
1523,32F,24%,5mph,Fair,2017-03-05,11,411
1524,35F,20%,3mph,Fair,2017-03-05,12,461
1525,36F,20%,5mph,Fair,2017-03-05,13,496
1526,38F,18%,6mph,Fair,2017-03-05,14,551
1527,39F,17%,3mph,Fair,2017-03-05,15,520
1528,39F,18%,3mph,Fair,2017-03-05,16,475
1529,38F,21%,6mph,Partly Cloudy,2017-03-05,17,377
1530,37F,22%,7mph,Partly Cloudy,2017-03-05,18,307
1531,36F,24%,6mph,Partly Cloudy,2017-03-05,19,195
1532,38F,25%,3mph,Partly Cloudy,2017-03-05,20,134
1533,35F,39%,3mph,Partly Cloudy,2017-03-05,21,98
1534,33F,42%,6mph,Mostly Cloudy,2017-03-05,22,77
1535,33F,40%,5mph,Mostly Cloudy,2017-03-05,23,36
1536,34F,38%,6mph,Mostly Cloudy,2017-03-06,0,17
1537,33F,50%,5mph,Mostly Cloudy,2017-03-06,1,4
1538,33F,59%,5mph,Mostly Cloudy,2017-03-06,2,2
1539,34F,61%,6mph,Cloudy,2017-03-06,3,3
1540,34F,67%,5mph,Cloudy,2017-03-06,4,11
1541,34F,64%,6mph,Mostly Cloudy,2017-03-06,5,55
1542,35F,61%,10mph,Mostly Cloudy,2017-03-06,6,229
1543,36F,59%,6mph,Mostly Cloudy,2017-03-06,7,604
1544,38F,60%,8mph,Partly Cloudy,2017-03-06,8,986
1545,42F,53%,9mph,Mostly Cloudy,2017-03-06,9,418
1546,45F,49%,8mph,Mostly Cloudy,2017-03-06,10,239
1547,49F,43%,8mph,Partly Cloudy,2017-03-06,11,277
1548,52F,38%,7mph,Partly Cloudy,2017-03-06,12,354
1549,52F,43%,8mph,Mostly Cloudy,2017-03-06,13,388
1550,53F,40%,9mph,Mostly Cloudy,2017-03-06,14,348
1551,53F,41%,6mph,Cloudy,2017-03-06,15,456
