,time,temp,hum,wind,weather,date
0,12:52 AM,46F,39%,9mph,Mostly Cloudy,2017-01-01
1,1:52 AM,44F,42%,9mph,Partly Cloudy,2017-01-01
2,2:52 AM,43F,45%,13mph,Partly Cloudy,2017-01-01
3,3:52 AM,41F,49%,5mph,Partly Cloudy,2017-01-01
4,4:52 AM,40F,51%,5mph,Partly Cloudy,2017-01-01
5,5:52 AM,40F,60%,3mph,Partly Cloudy,2017-01-01
6,6:52 AM,39F,62%,0mph,Mostly Cloudy,2017-01-01
7,7:52 AM,40F,63%,3mph,Mostly Cloudy,2017-01-01
8,8:52 AM,44F,53%,0mph,Mostly Cloudy,2017-01-01
9,9:52 AM,45F,52%,0mph,Mostly Cloudy,2017-01-01
10,10:06 AM,45F,52%,5mph,Mostly Cloudy,2017-01-01
11,10:52 AM,49F,46%,0mph,Mostly Cloudy,2017-01-01
12,11:52 AM,53F,45%,10mph,Mostly Cloudy,2017-01-01
13,12:52 PM,54F,43%,5mph,Mostly Cloudy,2017-01-01
14,1:52 PM,55F,43%,6mph,Mostly Cloudy,2017-01-01
15,2:52 PM,55F,43%,3mph,Mostly Cloudy,2017-01-01
16,3:52 PM,53F,48%,3mph,Mostly Cloudy,2017-01-01
17,4:52 PM,50F,52%,5mph,Mostly Cloudy,2017-01-01
18,5:52 PM,47F,61%,3mph,Mostly Cloudy,2017-01-01
19,6:52 PM,46F,61%,8mph,Mostly Cloudy,2017-01-01
20,7:52 PM,47F,54%,0mph,Cloudy,2017-01-01
21,8:52 PM,46F,56%,0mph,Cloudy,2017-01-01
22,9:52 PM,43F,76%,0mph,Cloudy,2017-01-01
23,10:52 PM,46F,61%,6mph,Cloudy,2017-01-01
24,11:52 PM,47F,59%,6mph,Cloudy,2017-01-01
0,12:52 AM,46F,63%,0mph,Cloudy,2017-01-02
1,1:52 AM,44F,71%,0mph,Light Rain,2017-01-02
2,2:52 AM,42F,85%,6mph,Light Drizzle,2017-01-02
3,3:22 AM,42F,89%,6mph,Light Rain,2017-01-02
4,3:52 AM,42F,89%,7mph,Light Drizzle,2017-01-02
5,4:38 AM,41F,96%,8mph,Light Drizzle,2017-01-02
6,4:45 AM,41F,96%,7mph,Light Drizzle,2017-01-02
7,4:49 AM,41F,93%,7mph,Light Rain,2017-01-02
8,4:52 AM,41F,96%,7mph,Light Rain,2017-01-02
9,5:07 AM,41F,96%,8mph,Light Rain,2017-01-02
10,5:09 AM,41F,96%,9mph,Light Drizzle,2017-01-02
11,5:52 AM,41F,96%,10mph,Light Drizzle,2017-01-02
12,6:44 AM,41F,96%,9mph,Light Drizzle,2017-01-02
13,6:52 AM,41F,96%,9mph,Light Drizzle,2017-01-02
14,7:52 AM,41F,100%,8mph,Light Drizzle,2017-01-02
15,8:08 AM,41F,100%,8mph,Light Drizzle,2017-01-02
16,8:52 AM,42F,96%,7mph,Light Rain,2017-01-02
17,9:03 AM,42F,96%,6mph,Rain,2017-01-02
18,9:46 AM,43F,100%,8mph,Light Rain,2017-01-02
19,9:49 AM,43F,100%,7mph,Light Rain,2017-01-02
20,9:52 AM,43F,97%,8mph,Light Rain,2017-01-02
21,10:37 AM,44F,96%,8mph,Light Rain,2017-01-02
22,10:48 AM,45F,93%,8mph,Light Rain,2017-01-02
23,10:52 AM,44F,96%,8mph,Light Rain,2017-01-02
24,11:02 AM,44F,96%,8mph,Light Rain,2017-01-02
25,11:16 AM,44F,96%,8mph,Light Rain,2017-01-02
26,11:43 AM,45F,97%,7mph,Fog,2017-01-02
27,11:52 AM,45F,97%,9mph,Fog,2017-01-02
28,12:21 PM,45F,97%,8mph,Light Drizzle,2017-01-02
29,12:52 PM,44F,100%,10mph,Light Rain,2017-01-02
30,1:52 PM,44F,96%,9mph,Light Rain,2017-01-02
31,2:10 PM,44F,100%,8mph,Fog,2017-01-02
32,2:27 PM,44F,96%,10mph,Light Drizzle,2017-01-02
33,2:45 PM,44F,96%,9mph,Light Rain,2017-01-02
34,2:52 PM,44F,96%,9mph,Light Rain,2017-01-02
35,3:31 PM,44F,96%,12mph,Light Rain,2017-01-02
36,3:52 PM,44F,96%,12mph,Light Rain,2017-01-02
37,3:54 PM,44F,96%,10mph,Light Rain,2017-01-02
38,4:19 PM,44F,96%,10mph,Light Drizzle,2017-01-02
39,4:29 PM,44F,96%,9mph,Light Drizzle,2017-01-02
